Review ID,Username,Rating,Review Text,Date
07a219a3-7ea1-4ece-8981-e1b0f23567e0,Cucu Sutiani,1,jika membuka tiktok hp langsung mati ada yang sama?,2025-01-11 11:29:49
480f42cb-e52d-4256-ac7a-bd3d3bd68a82,Naifah Ufairah aqila,5,"Bgs bgttt, tpi coba deh klo bisa ngedit langsung fi tiktok ny kyk capcut",2025-01-11 09:56:25
51bb7976-e964-4993-bf64-4ba5c2e0e046,AMOON HOBBIES,5,Indonesia,2025-01-11 05:59:38
d087d04a-004b-4756-b540-ff6c15b80a44,Tiara Puji,1,bisa ngga sih ngga terlalu eror masa harus download lagi baru bisa masuk dihhhhh,2025-01-10 19:00:47
7c03dd06-4b3d-4c4e-bfbe-d1e4b7e2af15,Marissae Risa,5,Hy batu folow,2025-01-10 18:10:00
078346c2-658f-4435-bc19-977904370494,Ayah Tazwir1,5,bagus,2025-01-10 17:48:26
9aa3fa31-a614-4aeb-a04a-6916a3d0b6bb,Bilqis Rifa,5,akhirnya bisa jg mksih🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2025-01-10 11:32:49
36841607-c40d-4688-a4da-23d2f404fb3c,YT SIAPA,5,bgus bgt,2025-01-10 10:00:24
dfc1680f-3474-46d4-9d0b-879cfe0a429d,Muhammad Ansari,1,"Kesel, kesel, kesel, kesel",2025-01-10 00:20:46
c364c91b-f2b0-4fa9-9c50-1303dc8716f9,Arifin Katedral,5,Bagus sekali aplikasi nya,2025-01-09 19:03:46
d48de03f-798f-4c4b-81f1-7c50133f33dc,アニメスキ,1,"Woy aplikasi tolol monyet, kenapa akun gw selalu di blokir, padahal cuman make kata kata gaul, kok kena pelanggaran, dongo anj, udh 4x kena mulu, gak pernah ketik sesuatu yang kotor, hanya bahasa gaul, dan itu pun bahasa gaul nya dengan arti yang baik, malah kena pelanggaran, anj",2025-01-09 16:18:16
